date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
2016-06-25,New Zealand,Wales,46,6,2016 Wales tour of New Zealand,Forsyth Barr Stadium,Dunedin,New Zealand,False,False
2016-06-25,South Africa,Ireland,19,13,2016 Ireland rugby union tour of South Africa,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,False,False
2016-06-25,Argentina,France,0,27,2016 France tour of Argentina,Estadio Monumental José Fierro,Tucumán,Argentina,False,False
2016-06-25,Australia,England,40,44,2016 England tour of Australia,Sydney Football Stadium,Sydney,Australia,False,False
2016-08-20,Australia,New Zealand,8,42,2016 Rugby Championship,Stadium Australia,Sydney,Australia,False,False
2016-08-20,South Africa,Argentina,30,23,2016 Rugby Championship,Mbombela Stadium,Mbombela,South Africa,False,False
2016-08-27,Argentina,South Africa,26,24,2016 Rugby Championship,Estadio Padre Ernesto Martearena,Salta,Argentina,False,False
2016-08-27,New Zealand,Australia,29,9,2016 Rugby Championship,Wellington Regional Stadium,Wellington,New Zealand,False,False
2016-09-10,New Zealand,Argentina,57,22,2016 Rugby Championship,Waikato Stadium,Hamilton,New Zealand,False,False
2016-09-10,Australia,South Africa,23,17,2016 Rugby Championship,Lang Park,Brisbane,Australia,False,False
2016-09-17,New Zealand,South Africa,41,13,2016 Rugby Championship,Rugby League Park,Christchurch,New Zealand,False,False
2016-09-17,Australia,Argentina,36,20,2016 Rugby Championship,Perth Oval,Perth,Australia,False,False
2016-10-01,Argentina,New Zealand,17,36,2016 Rugby Championship,José Amalfitani Stadium,Buenos Aires,Argentina,False,False
2016-10-01,South Africa,Australia,18,10,2016 Rugby Championship,Loftus Versfeld Stadium,Pretoria,South Africa,False,False
2016-10-08,Argentina,Australia,21,33,2016 Rugby Championship,Twickenham,London,England,True,False
2016-10-08,South Africa,New Zealand,15,57,2016 Rugby Championship,Kings Park Stadium,Durban,South Africa,False,False
2016-10-22,New Zealand,Australia,37,10,2016 Autumn International,Eden Park,Auckland,New Zealand,False,False
2016-11-05,Wales,Australia,8,32,2016 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2016-11-05,Ireland,New Zealand,40,29,2016 Autumn International,Soldier Field,Chicago,United States,True,False
2016-11-12,Italy,New Zealand,10,68,2016 end-of-year internationals,Stadio Olimpico,Rome,Italy,False,False
2016-11-12,Wales,Argentina,24,20,2016 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2016-11-12,Scotland,Australia,22,23,2016 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,False,False
2016-11-12,England,South Africa,37,21,2016 Autumn International,Twickenham,London,England,False,False
2016-11-19,Scotland,Argentina,19,16,2016 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,False,False
2016-11-19,Italy,South Africa,20,18,2016 end-of-year test,Stadio Artemio Franchi,Florence,Italy,False,False
2016-11-19,France,Australia,23,25,2016 Autumn International,Stade de France,Saint-Denis,France,False,False
2016-11-19,Ireland,New Zealand,9,21,2016 Autumn International,Aviva Stadium,Dublin,Ireland,False,False
2016-11-26,Wales,South Africa,27,13,2016 end-of-year test,Millennium Stadium,Cardiff,Wales,False,False
2016-11-26,Ireland,Australia,27,24,2016 Autumn International,Lansdowne Road,Dublin,Ireland,False,False
2016-11-26,France,New Zealand,19,24,2016 end-of year test,Stade de France,Saint-Denis,France,False,False
2016-11-26,England,Argentina,27,14,2016 Autumn International,Twickenham,London,England,False,False
2016-12-03,England,Australia,37,21,2016 Autumn International,Twickenham Stadium,London,England,False,False
2017-02-04,Scotland,Ireland,27,22,2017 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2017-02-04,England,France,19,16,2017 Six Nations Championship,Twickenham,London,England,False,False
2017-02-05,Italy,Wales,7,33,2017 Six Nations,Stadio Olimpico,Rome,Italy,False,False
2017-02-11,Italy,Ireland,10,63,2017 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2017-02-11,Wales,England,16,21,2017 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2017-02-12,France,Scotland,22,16,2017 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2017-02-25,Ireland,France,19,9,2017 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2017-02-25,Scotland,Wales,29,13,2017 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2017-02-26,England,Italy,36,15,2017 Six Nations Championship,Twickenham,London,England,False,False
2017-03-10,Wales,Ireland,22,9,2017 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2017-03-11,England,Scotland,61,21,2017 Six Nations Championship,Twickenham Stadium,London,England,False,False
2017-03-11,Italy,France,18,40,2017 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2017-03-18,Scotland,Italy,29,0,2017 Six Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
2017-03-18,France,Wales,20,18,2017 Six Nations Championship,Stade de France,Paris,France,False,False
2017-03-18,Ireland,England,13,9,2017 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2017-06-10,Argentina,England,34,38,2017 England tour of Argentina,Estadio Bicentenario,San Juan,Argentina,False,False
2017-06-10,Italy,Scotland,13,34,2017 mid-year test,National Stadium,Singapore,Singapore,True,False
2017-06-10,South Africa,France,37,14,2017 France rugby union tour of South Africa,Loftus Versfeld,Pretoria,South Africa,False,False
2017-06-17,Argentina,England,25,35,2017 England tour of Argentina,Estadio Estanislao López,Santa Fe,Argentina,False,False
2017-06-17,Australia,Scotland,19,24,2017 Summer International,Sydney Football Stadium,Sydney,Australia,False,False
2017-06-17,South Africa,France,37,15,2017 France rugby union tour of South Africa,Kings Park,Durban,South Africa,False,False
2017-06-24,South Africa,France,35,12,2017 France rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,False,False
2017-06-24,Australia,Italy,40,27,2017 Summer International,Lang Park,Brisbane,Australia,False,False
2017-08-19,South Africa,Argentina,37,15,2017 Rugby Championship,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,False,False
2017-08-19,Australia,New Zealand,34,54,2017 Rugby Championship,Stadium Australia,Sydney,Australia,False,False
2017-08-26,New Zealand,Australia,35,29,2017 Rugby Championship,Forsyth Barr Stadium,Dunedin,New Zealand,False,False
2017-08-26,Argentina,South Africa,23,41,2017 Rugby Championship,Estadio Padre Ernesto Martearena,Salta,Argentina,False,False
2017-09-09,New Zealand,Argentina,39,22,2017 Rugby Championship,Yarrow Stadium,New Plymouth,New Zealand,False,False
2017-09-09,Australia,South Africa,23,23,2017 Rugby Championship,Perth Oval,Perth,Australia,False,False
2017-09-16,Australia,Argentina,45,20,2017 Rugby Championship,Canberra Stadium,Canberra,Australia,False,False
2017-09-16,New Zealand,South Africa,57,0,2017 Rugby Championship,North Harbour Stadium,Albany,New Zealand,False,False
2017-09-30,South Africa,Australia,27,27,2017 Rugby Championship,Free State Stadium,Bloemfontein,South Africa,False,False
2017-09-30,Argentina,New Zealand,10,36,2017 Rugby Championship,José Amalfitani Stadium,Buenos Aires,Argentina,False,False
2017-10-07,Argentina,Australia,20,37,2017 Rugby Championship,Estadio Malvinas Argentinas,Mendoza,Argentina,False,False
2017-10-07,South Africa,New Zealand,24,25,2017 Rugby Championship,Newlands,Cape Town,South Africa,False,False
2017-10-21,Australia,New Zealand,23,18,2017 Autumn International,Lang Park,Brisbane,Australia,False,False
2017-11-11,Wales,Australia,21,29,2017 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2017-11-11,Ireland,South Africa,38,3,2017 end-of-year test,Aviva Stadium,Dublin,Ireland,False,False
2017-11-11,England,Argentina,21,8,2017 Autumn International,Twickenham,London,England,False,False
2017-11-11,France,New Zealand,18,38,2017 end-of year test,Stade de France,Saint-Denis,France,False,False
2017-11-18,Scotland,New Zealand,17,22,2017 Autumn International,Murrayfield,Edinburgh,Scotland,False,False
2017-11-18,Italy,Argentina,15,31,2017 end of year test,Stadio Artemio Franchi,Florence,Italy,False,False
2017-11-18,France,South Africa,17,18,2017 end-of-year test,Stade de France,Saint-Denis,France,False,False
2017-11-18,England,Australia,30,6,2017 Autumn International,Twickenham Stadium,London,England,False,False
2017-11-25,Scotland,Australia,53,24,2017 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,False,False
2017-11-25,Ireland,Argentina,28,19,2017 Autumn Internationals,Aviva Stadium,Dublin,Ireland,False,False
2017-11-25,Wales,New Zealand,18,33,2017 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2017-11-25,Italy,South Africa,6,35,2017 end-of-year test,Stadio Euganeo,Padua,Italy,False,False
2017-12-02,Wales,South Africa,24,22,2017 end-of-year test,Millennium Stadium,Cardiff,Wales,False,False
2018-02-03,Wales,Scotland,34,7,2018 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2018-02-03,France,Ireland,13,15,2018 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2018-02-04,Italy,England,15,46,2018 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2018-02-10,England,Wales,12,6,2018 Six Nations Championship,Twickenham,London,England,False,False
2018-02-10,Ireland,Italy,56,19,2018 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2018-02-11,Scotland,France,32,26,2018 Six Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
2018-02-23,France,Italy,34,17,2018 Six Nations Championship,Stade Vélodrome,Marseille,France,False,False
2018-02-24,Ireland,Wales,37,27,2018 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2018-02-24,Scotland,England,25,13,2018 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2018-03-10,Ireland,Scotland,28,8,2018 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2018-03-10,France,England,22,16,2018 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2018-03-11,Wales,Italy,38,14,2018 Six Nations,Millennium Stadium,Cardiff,Wales,False,False
2018-03-17,Italy,Scotland,27,29,2018 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2018-03-17,Wales,France,14,13,2018 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2018-03-17,England,Ireland,15,24,2018 Six Nations Championship,Twickenham,London,England,False,False
2018-06-02,South Africa,Wales,20,22,2018 mid-year test,RFK Stadium,Washington,United States,True,False
2018-06-09,New Zealand,France,52,11,2018 French tour to New Zealand,Eden Park,Auckland,New Zealand,False,False
2018-06-09,Australia,Ireland,18,9,2018 Ireland tour of Australia,Lang Park,Brisbane,Australia,False,False
2018-06-09,Argentina,Wales,10,23,2018 Wales tour of Argentina and North America,Estadio San Juan del Bicentenario,San Juan,Argentina,False,False
2018-06-09,South Africa,England,42,39,2018 England rugby union tour of South Africa,Ellis Park,Johannesburg,South Africa,False,False
2018-06-16,Australia,Ireland,21,26,2018 Ireland tour of Australia,Melbourne Rec. Stadium,Melbourne,Australia,False,False
2018-06-16,New Zealand,France,26,13,2018 French tour to New Zealand,Westpac Stadium,Wellington,New Zealand,False,False
2018-06-16,Argentina,Wales,12,30,2018 Wales tour of Argentina and North America,Estadio Centenario,Resistencia,Argentina,False,False
2018-06-16,South Africa,England,23,12,2018 England rugby union tour of South Africa,Free State Stadium,Bloemfontein,South Africa,False,False
2018-06-23,New Zealand,France,49,14,2018 French tour to New Zealand,Forsyth Barr Stadium,Dunedin,New Zealand,False,False
2018-06-23,South Africa,England,10,25,2018 England rugby union tour of South Africa,Newlands,Cape Town,South Africa,False,False
2018-06-23,Argentina,Scotland,15,44,2018 Summer International,Estadio Centenario,Resistencia,Argentina,False,False
2018-06-23,Australia,Ireland,16,20,2018 Ireland tour of Australia,Stadium Australia,Sydney,Australia,False,False
2018-08-18,South Africa,Argentina,34,21,2018 Rugby Championship,Kings Park Stadium,Durban,South Africa,False,False
2018-08-18,Australia,New Zealand,13,38,2018 Rugby Championship,Stadium Australia,Sydney,Australia,False,False
2018-08-25,New Zealand,Australia,40,12,2018 Rugby Championship,Eden Park,Auckland,New Zealand,False,False
2018-08-25,Argentina,South Africa,32,19,2018 Rugby Championship,Malvinas Argentinas,Mendoza,Argentina,False,False
2018-09-08,Australia,South Africa,23,18,2018 Rugby Championship,Lang Park,Brisbane,Australia,False,False
2018-09-08,New Zealand,Argentina,46,24,2018 Rugby Championship,Trafalgar Park,Nelson,New Zealand,False,False
2018-09-15,New Zealand,South Africa,34,36,2018 Rugby Championship,Westpac Stadium,Wellington,New Zealand,False,False
2018-09-15,Australia,Argentina,19,23,2018 Rugby Championship,Robina Stadium,Gold Coast,Australia,False,False
2018-09-29,Argentina,New Zealand,17,35,2018 Rugby Championship,José Amalfitani Stadium,Buenos Aires,Argentina,False,False
2018-09-29,South Africa,Australia,23,12,2018 Rugby Championship,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,False,False
2018-10-06,Argentina,Australia,34,45,2018 Rugby Championship,Estadio Padre Ernesto Martearena,Salta,Argentina,False,False
2018-10-06,South Africa,New Zealand,30,32,2018 Rugby Championship,Loftus Versfeld Stadium,Pretoria,South Africa,False,False
2018-10-27,New Zealand,Australia,37,20,2018 Autumn International,Nissan Stadium,Yokohama,Japan,True,False
2018-11-03,England,South Africa,12,11,2018 Autumn International,Twickenham,London,England,False,False
2018-11-03,Ireland,Italy,54,7,2018 Autumn Internationals,Soldier Field,Chicago,United States,True,False
2018-11-03,Wales,Scotland,21,10,2018 Autumn international,Millennium Stadium,Cardiff,Wales,False,False
2018-11-10,Ireland,Argentina,28,17,2018 Autumn Internationals,Aviva Stadium,Dublin,Ireland,False,False
2018-11-10,England,New Zealand,15,16,2018 Autumn International,Twickenham,London,England,False,False
2018-11-10,France,South Africa,26,29,2018 end-of-year test,Stade de France,Saint-Denis,France,False,False
2018-11-10,Wales,Australia,9,6,2018 Autumn International,Millennium Stadium,Cardiff,Wales,False,False
2018-11-17,France,Argentina,28,13,2018 Autumn International,Stade Pierre-Mauroy,Lille,France,False,False
2018-11-17,Ireland,New Zealand,16,9,2018 Autumn International,Aviva Stadium,Dublin,Ireland,False,False
2018-11-17,Scotland,South Africa,20,26,2018 Autumn International,Murrayfield,Edinburgh,Scotland,False,False
2018-11-17,Italy,Australia,7,26,2018 Autumn International,Stadio Euganeo,Padova,Italy,False,False
2018-11-24,Wales,South Africa,20,11,2018 end-of-year test,Millennium Stadium,Cardiff,Wales,False,False
2018-11-24,Scotland,Argentina,14,9,2018 Autumn International,Murrayfield Stadium,Edinburgh,Scotland,False,False
2018-11-24,Italy,New Zealand,3,66,2018 end-of-year internationals,Stadio Olimpico,Rome,Italy,False,False
2018-11-24,England,Australia,37,18,2018 Autumn International,Twickenham Stadium,London,England,False,False
2019-02-01,France,Wales,19,24,2019 Six Nations Championship,Stade de France,Paris,France,False,False
2019-02-02,Scotland,Italy,33,20,2019 Six Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
2019-02-02,Ireland,England,20,32,2019 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2019-02-09,Italy,Wales,15,26,2019 Six Nations,Stadio Olimpico,Rome,Italy,False,False
2019-02-09,Scotland,Ireland,13,22,2019 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2019-02-10,England,France,44,8,2019 Six Nations Championship,Twickenham,London,England,False,False
2019-02-23,France,Scotland,27,10,2019 Six Nations Championship,Stade de France,Saint-Denis,France,False,False
2019-02-23,Wales,England,21,13,2019 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2019-02-24,Italy,Ireland,16,26,2019 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2019-03-09,England,Italy,57,14,2019 Six Nations Championship,Twickenham,London,England,False,False
2019-03-09,Scotland,Wales,11,18,2019 Six Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
2019-03-10,Ireland,France,26,14,2019 Six Nations Championship,Aviva Stadium,Dublin,Ireland,False,False
2019-03-16,Italy,France,14,25,2019 Six Nations Championship,Stadio Olimpico,Rome,Italy,False,False
2019-03-16,Wales,Ireland,25,7,2019 Six Nations Championship,Millennium Stadium,Cardiff,Wales,False,False
2019-03-16,England,Scotland,38,38,2019 Six Nations Championship,Twickenham Stadium,London,England,False,False
2019-07-20,Argentina,New Zealand,16,20,2019 Rugby Championship,José Amalfitani Stadium,Buenos Aires,Argentina,False,False
2019-07-20,South Africa,Australia,35,17,2019 Rugby Championship,Ellis Park Stadium,Johannesburg,South Africa,False,False
2019-07-27,Australia,Argentina,16,10,2019 Rugby Championship,Suncorp Stadium,Brisbane,Australia,False,False
2019-07-27,New Zealand,South Africa,16,16,2019 Rugby Championship,Westpac Stadium,Wellington,New Zealand,False,False
2019-08-10,Ireland,Italy,29,10,2019 Rugby World Cup warm-up tests,Aviva Stadium,Dublin,Ireland,False,False
2019-08-10,Australia,New Zealand,47,26,2019 Rugby Championship,Perth Stadium,Perth,Australia,False,False
2019-08-10,Argentina,South Africa,13,46,2019 Rugby Championship,Estadio Padre Ernesto Martearena,Salta,Argentina,False,False
2019-08-11,England,Wales,33,19,2019 Rugby World Cup warm-up,Twickenham,London,England,False,False
2019-08-17,France,Scotland,32,3,2019 Rugby World Cup warm-up,Allianz Riviera,Nice,France,False,False
2019-08-17,Wales,England,13,6,2019 Rugby World Cup warm-up,Millennium Stadium,Cardiff,Wales,False,False
2019-08-17,New Zealand,Australia,36,0,2019 Rugby World Cup warm-up match,Eden Park,Auckland,New Zealand,False,False
2019-08-17,South Africa,Argentina,24,18,2019 Rugby World Cup warm-up match,Loftus Versfeld Stadium,Pretoria,South Africa,False,False
2019-08-24,England,Ireland,57,15,2019 Rugby World Cup Warm-up,Twickenham,London,England,False,False
2019-08-24,Scotland,France,17,14,2019 Rugby World Cup warm-up,Murrayfield,Edinburgh,Scotland,False,False
2019-08-30,France,Italy,47,19,2019 Rugby World Cup warm-up match,Stade de France,Saint-Denis,France,False,False
2019-08-31,Wales,Ireland,17,22,2019 Rugby World Cup warm-up tests,Millennium Stadium,Cardiff,Wales,False,False
2019-09-06,England,Italy,37,0,2019 Rugby World Cup Warm-up,St James' Park,Newcastle upon Tyne,England,False,False
2019-09-07,Ireland,Wales,19,10,2019 Rugby World Cup warm-up tests,Aviva Stadium,Dublin,Ireland,False,False
2019-09-21,France,Argentina,23,21,2019 Rugby World Cup Pool match,Tokyo Stadium,Tokyo,Japan,True,True
2019-09-21,New Zealand,South Africa,23,13,2019 Rugby World Cup Pool B,International Stadium Yokohama,Yokohama,Japan,True,True
2019-09-22,Ireland,Scotland,27,3,2019 Rugby World Cup,International Stadium Yokohama,Yokohama,Japan,True,True
2019-09-29,Australia,Wales,25,29,2019 Rugby World Cup Pool match,Tokyo Stadium,Tokyo,Japan,True,True
2019-10-04,South Africa,Italy,49,3,2019 Rugby World Cup,Shizuoka Stadium Ecopa,Fukuroi,Japan,True,True
2019-10-05,England,Argentina,39,10,2019 Rugby World Cup Pool match,Tokyo Stadium,Tokyo,Japan,True,True
2019-10-19,New Zealand,Ireland,46,14,2019 Rugby World Cup Quarter-final,Tokyo Stadium,Tokyo,Japan,True,True
